"","weir","Trap_Year","Species","Moved To Facility","Biological Sampling","Brood Stock","Distribution","Fisheries","General Holding","Natural Spawning","Nutrient Enhancement","Other","Recycled","Stray Relocation","Stray Removal","Stray Removal Distribution","Unknown","Within FINS Facility","Trap Mort","DOA","Killed","total_morts"
"229","Lostine River Weir",2006,"Bull Trout","NPT GRSME Program",NA,NA,NA,NA,NA,78,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"230","Lostine River Weir",2006,"Chinook","Lookingglass Fish Hatchery",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,137,NA,NA,NA,NA
"231","Lostine River Weir",2006,"Chinook","NPT GRSME Program",NA,NA,NA,NA,NA,360,NA,NA,NA,NA,NA,NA,1,NA,2,0,0,2
"232","Lostine River Weir",2006,"Mtn White Fish","NPT GRSME Program",NA,NA,NA,NA,NA,46,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"233","Lostine River Weir",2006,"Rainbow Trout","NPT GRSME Program",NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"234","Lostine River Weir",2006,"Steelhead","NPT GRSME Program",NA,NA,NA,NA,NA,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"235","Lostine River Weir",2006,"Sucker","NPT GRSME Program",NA,NA,NA,NA,NA,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"236","Lostine River Weir",2007,"Bull Trout","NPT GRSME Program",NA,NA,NA,NA,NA,63,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"237","Lostine River Weir",2007,"Chinook","Lookingglass Fish Hatchery",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,122,NA,NA,NA,NA
"238","Lostine River Weir",2007,"Chinook","NPT GRSME Program",NA,NA,92,NA,NA,373,NA,NA,NA,NA,NA,NA,1,NA,4,0,92,96
"239","Lostine River Weir",2007,"Mtn White Fish","NPT GRSME Program",NA,NA,NA,NA,NA,45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"240","Lostine River Weir",2007,"Rainbow Trout","NPT GRSME Program",NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"241","Lostine River Weir",2007,"Steelhead","NPT GRSME Program",NA,NA,NA,NA,NA,47,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"242","Lostine River Weir",2007,"Sucker","NPT GRSME Program",NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"243","Lostine River Weir",2008,"Bull Trout","NPT GRSME Program",NA,NA,NA,NA,NA,34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"244","Lostine River Weir",2008,"Chinook","Lookingglass Fish Hatchery",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,118,NA,NA,NA,NA
"245","Lostine River Weir",2008,"Chinook","NPT GRSME Program",NA,NA,22,NA,NA,811,NA,NA,NA,NA,NA,NA,NA,NA,1,0,22,23
"246","Lostine River Weir",2008,"Mtn White Fish","NPT GRSME Program",NA,NA,NA,NA,NA,47,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"247","Lostine River Weir",2008,"Northern Pike Minnow","NPT GRSME Program",NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"248","Lostine River Weir",2008,"Rainbow Trout","NPT GRSME Program",NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"249","Lostine River Weir",2008,"Steelhead","NPT GRSME Program",NA,NA,NA,NA,NA,23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"250","Lostine River Weir",2008,"Sucker","NPT GRSME Program",NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"251","Lostine River Weir",2009,"Bull Trout","NPT GRSME Program",NA,NA,NA,NA,NA,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"252","Lostine River Weir",2009,"Chinook","Lookingglass Fish Hatchery",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,120,NA,NA,NA,NA
"253","Lostine River Weir",2009,"Chinook","NPT GRSME Program",NA,NA,23,NA,NA,706,NA,NA,NA,NA,NA,NA,NA,NA,8,0,23,31
"254","Lostine River Weir",2009,"Chinook","Wallowa Fish Hatchery",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1583,NA,NA,NA,NA
"255","Lostine River Weir",2009,"Mtn White Fish","NPT GRSME Program",NA,NA,NA,NA,NA,10,2,NA,NA,NA,NA,NA,NA,NA,2,0,0,2
"256","Lostine River Weir",2009,"Rainbow Trout","NPT GRSME Program",NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,0,0,1
"257","Lostine River Weir",2009,"Steelhead","NPT GRSME Program",NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"258","Lostine River Weir",2010,"Bull Trout","NPT GRSME Program",NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"259","Lostine River Weir",2010,"Chinook","Lookingglass Fish Hatchery",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,151,NA,NA,NA,NA
"260","Lostine River Weir",2010,"Chinook","NPT GRSME Program",NA,NA,2,273,NA,132,NA,NA,NA,NA,NA,NA,NA,NA,0,0,2,2
"261","Lostine River Weir",2010,"Mtn White Fish","NPT GRSME Program",NA,NA,NA,NA,NA,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"262","Lostine River Weir",2010,"Rainbow Trout","NPT GRSME Program",NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"263","Lostine River Weir",2010,"Steelhead","NPT GRSME Program",NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"264","Lostine River Weir",2011,"Bull Trout","NPT GRSME Program",NA,NA,NA,NA,NA,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"265","Lostine River Weir",2011,"Chinook","Lookingglass Fish Hatchery",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,144,NA,NA,NA,NA
"266","Lostine River Weir",2011,"Chinook","NPT GRSME Program",NA,NA,11,197,NA,153,NA,NA,NA,NA,NA,NA,NA,NA,0,0,11,11
"267","Lostine River Weir",2011,"Mtn White Fish","NPT GRSME Program",NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"268","Lostine River Weir",2011,"Rainbow Trout","NPT GRSME Program",NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"269","Lostine River Weir",2011,"Steelhead","NPT GRSME Program",NA,NA,NA,NA,NA,245,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"270","Lostine River Weir",2011,"Sucker","NPT GRSME Program",NA,NA,NA,NA,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"271","Lostine River Weir",2012,"Bull Trout","NPT GRSME Program",NA,NA,NA,NA,NA,23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"272","Lostine River Weir",2012,"Chinook","Lookingglass Fish Hatchery",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,142,NA,NA,NA,NA
"273","Lostine River Weir",2012,"Chinook","NPT GRSME Program",NA,NA,NA,NA,NA,971,1,NA,NA,NA,NA,NA,NA,NA,0,0,1,1
"274","Lostine River Weir",2012,"Chinook","Wallowa Fish Hatchery",NA,NA,182,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,182,182
"275","Lostine River Weir",2012,"Mtn White Fish","NPT GRSME Program",NA,NA,NA,NA,NA,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"276","Lostine River Weir",2012,"Steelhead","NPT GRSME Program",NA,NA,NA,NA,NA,103,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"277","Lostine River Weir",2013,"Bull Trout","NPT GRSME Program",NA,NA,NA,NA,NA,37,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"278","Lostine River Weir",2013,"Chinook","Lookingglass Fish Hatchery",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,145,NA,NA,NA,NA
"279","Lostine River Weir",2013,"Chinook","NPT GRSME Program",NA,NA,1,NA,NA,241,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1,1
"280","Lostine River Weir",2013,"Chinook","Wallowa Fish Hatchery",NA,NA,417,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,417,417
"281","Lostine River Weir",2013,"Mtn White Fish","NPT GRSME Program",NA,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"282","Lostine River Weir",2013,"Rainbow Trout","NPT GRSME Program",NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"283","Lostine River Weir",2013,"Steelhead","NPT GRSME Program",NA,NA,NA,NA,NA,90,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"284","Lostine River Weir",2013,"Sucker","NPT GRSME Program",NA,NA,NA,NA,NA,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"285","Lostine River Weir",2014,"Bull Trout","NPT GRSME Program",NA,NA,NA,NA,NA,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"286","Lostine River Weir",2014,"Chinook","Lookingglass Fish Hatchery",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,165,NA,NA,NA,NA
"287","Lostine River Weir",2014,"Chinook","NPT GRSME Program",NA,NA,1,279,NA,1514,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1,1
"288","Lostine River Weir",2014,"Mtn White Fish","NPT GRSME Program",NA,NA,NA,NA,NA,34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"289","Lostine River Weir",2014,"Steelhead","NPT GRSME Program",NA,NA,NA,NA,NA,71,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"290","Lostine River Weir",2015,"Bull Trout","NPT GRSME Program",NA,NA,NA,NA,NA,41,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"291","Lostine River Weir",2015,"Chinook","Lookingglass Fish Hatchery",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,177,NA,NA,NA,NA
"292","Lostine River Weir",2015,"Chinook","NPT GRSME Program",NA,NA,1,221,NA,658,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1,1
"293","Lostine River Weir",2015,"Mtn White Fish","NPT GRSME Program",NA,NA,NA,NA,NA,38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"294","Lostine River Weir",2015,"Steelhead","NPT GRSME Program",NA,NA,NA,NA,NA,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"295","Lostine River Weir",2015,"Sucker","NPT GRSME Program",NA,NA,NA,NA,NA,79,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"296","Lostine River Weir",2016,"Bull Trout","NPT GRSME Program",NA,NA,NA,NA,NA,35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"297","Lostine River Weir",2016,"Chinook","Lookingglass Fish Hatchery",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,172,NA,NA,NA,NA
"298","Lostine River Weir",2016,"Chinook","NPT GRSME Program",NA,NA,1,120,NA,1032,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1,1
"299","Lostine River Weir",2016,"Mtn White Fish","NPT GRSME Program",NA,NA,NA,NA,NA,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"300","Lostine River Weir",2016,"Steelhead","NPT GRSME Program",NA,NA,NA,NA,NA,61,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"301","Lostine River Weir",2016,"Sucker","NPT GRSME Program",NA,NA,NA,NA,NA,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"302","Lostine River Weir",2017,"Bull Trout","NPT GRSME Program",NA,NA,NA,NA,NA,68,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"303","Lostine River Weir",2017,"Chinook","Lookingglass Fish Hatchery",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,154,NA,NA,NA,NA
"304","Lostine River Weir",2017,"Chinook","NPT GRSME Program",NA,NA,54,NA,NA,449,1,1,92,NA,NA,NA,NA,NA,2,0,54,56
"305","Lostine River Weir",2017,"Mtn White Fish","NPT GRSME Program",NA,NA,NA,NA,NA,23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"306","Lostine River Weir",2017,"Rainbow Trout","NPT GRSME Program",NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"307","Lostine River Weir",2017,"Steelhead","NPT GRSME Program",NA,NA,NA,NA,NA,99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"308","Lostine River Weir",2017,"Sucker","NPT GRSME Program",NA,NA,NA,NA,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"309","Lower Granite Dam Trap",2015,"Chinook","NPT Hatchery",NA,865,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"310","Lower Granite Dam Trap",2016,"Chinook","NPT Hatchery",NA,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"311","Lower Granite Dam Trap",2017,"Chinook","NPT Hatchery",NA,976,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"312","Newsome Creek Weir",2002,"Chinook","NPTH M&E Program",NA,NA,NA,NA,NA,220,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"313","Newsome Creek Weir",2003,"Chinook","NPTH M&E Program",NA,NA,NA,NA,NA,352,1,NA,NA,NA,NA,NA,NA,NA,1,0,0,1
"314","Newsome Creek Weir",2004,"Chinook","NPTH M&E Program",NA,NA,NA,NA,NA,164,1,NA,NA,NA,NA,NA,NA,NA,1,0,0,1
"315","Newsome Creek Weir",2005,"Chinook","NPTH M&E Program",NA,NA,NA,NA,NA,66,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"316","Newsome Creek Weir",2006,"Chinook","NPTH M&E Program",NA,NA,NA,NA,NA,86,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"317","Newsome Creek Weir",2007,"Chinook","NPTH M&E Program",NA,NA,NA,NA,NA,52,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"318","Newsome Creek Weir",2008,"Chinook","NPTH M&E Program",NA,NA,NA,NA,NA,122,1,NA,NA,NA,NA,NA,NA,NA,1,0,0,1
"319","Newsome Creek Weir",2009,"Chinook","NPTH M&E Program",NA,NA,3,NA,NA,86,NA,NA,NA,NA,NA,NA,NA,NA,0,0,3,3
"320","Newsome Creek Weir",2010,"Chinook","NPTH M&E Program",NA,NA,NA,NA,NA,175,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"321","Newsome Creek Weir",2011,"Chinook","NPTH M&E Program",NA,NA,1,NA,NA,107,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1,1
"322","Newsome Creek Weir",2012,"Chinook","NPTH M&E Program",NA,NA,NA,NA,NA,133,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"323","Newsome Creek Weir",2013,"Chinook","NPTH M&E Program",NA,NA,NA,NA,NA,73,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"324","Newsome Creek Weir",2014,"Chinook","NPTH M&E Program",NA,NA,NA,NA,NA,52,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"325","Newsome Creek Weir",2015,"Chinook","NPTH M&E Program",NA,NA,NA,NA,NA,53,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"326","Newsome Creek Weir",2016,"Chinook","NPTH M&E Program",NA,NA,NA,NA,NA,38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"327","Newsome Creek Weir",2017,"Chinook","NPT Hatchery",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA
"328","Newsome Creek Weir",2017,"Chinook","NPTH M&E Program",NA,NA,NA,NA,NA,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"329","NPT Hatchery Trap",2013,"Chinook","NPT Hatchery",NA,336,NA,NA,NA,1644,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"330","NPT Hatchery Trap",2013,"Coho","NPT Hatchery",NA,NA,NA,NA,NA,5,1,NA,NA,NA,NA,NA,NA,NA,1,0,0,1
"331","NPT Hatchery Trap",2014,"Chinook","NPT Hatchery",NA,441,NA,1,121,54,3,NA,NA,NA,NA,NA,NA,NA,3,0,0,3
"332","NPT Hatchery Trap",2014,"Steelhead","NPT Hatchery",NA,NA,NA,NA,NA,24,3,NA,NA,NA,NA,NA,NA,NA,1,2,0,3
"333","NPT Hatchery Trap",2015,"Chinook","NPT Hatchery",NA,538,NA,NA,NA,1897,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"334","NPT Hatchery Trap",2015,"Steelhead","NPT Hatchery",NA,NA,NA,NA,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"335","NPT Hatchery Trap",2016,"Chinook","NPT Hatchery",NA,723,NA,NA,NA,93,7,NA,NA,NA,NA,NA,NA,NA,7,0,0,7
"336","NPT Hatchery Trap",2017,"Bull Trout","NPT Hatchery",NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"337","NPT Hatchery Trap",2017,"Chinook","NPT Hatchery",NA,180,NA,NA,64,23,1,NA,NA,NA,NA,NA,NA,NA,1,0,0,1
"338","Upper Lolo Weir",2003,"Chinook","NPTH M&E Program",NA,NA,NA,NA,NA,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"339","Upper Lolo Weir",2004,"Chinook","NPTH M&E Program",NA,NA,NA,NA,NA,220,2,NA,NA,NA,NA,NA,NA,NA,2,0,0,2
"340","Upper Lolo Weir",2005,"Chinook","NPTH M&E Program",NA,NA,NA,NA,NA,37,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"341","Upper Lolo Weir",2006,"Chinook","NPTH M&E Program",NA,NA,NA,NA,NA,95,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"342","Upper Lolo Weir",2007,"Chinook","NPTH M&E Program",NA,NA,NA,NA,NA,24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"343","Upper Lolo Weir",2008,"Chinook","NPTH M&E Program",NA,NA,NA,NA,NA,73,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"344","Upper Lolo Weir",2009,"Chinook","NPTH M&E Program",NA,NA,2,NA,NA,62,NA,NA,NA,NA,NA,NA,NA,NA,0,0,2,2
"345","Upper Lolo Weir",2010,"Chinook","NPTH M&E Program",NA,NA,NA,NA,NA,29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"346","Upper Lolo Weir",2011,"Chinook","NPTH M&E Program",NA,NA,9,NA,NA,85,NA,NA,NA,NA,NA,NA,NA,NA,0,0,9,9
